	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj																																
TIGR02386	130.5771154	-1.049224652	0.568894205	-1.844322975	0.065136085	0.999533006	Transcription	DNA-dependent RNA polymerase	rpoC_TIGR	"DNA-directed RNA polymerase, beta subunit
AU"	rpoC	2.7.7.6	"Bacteria have a single DNA-directed RNA polymerase, with required subunits that include alpha, beta, and beta-prime. This model describes the predominant architecture of the beta-prime subunit in most bacteria. This model excludes from among the bacterial mostly sequences from the cyanobacteria, where RpoC is replaced by two tandem genes homologous to it but also encoding an additional domain."																									
TIGR00763	45.33654653	0.553695657	0.68859047	0.804100088	0.421339174	0.999533006	Protein fate	"Degradation of proteins, peptides, and glycopeptides"	lon	endopeptidase La	lon	3.4.21.53	"This protein, the ATP-dependent serine endopeptidase La, is induced by heat shock and other stresses in E. coli, B. subtilis, and other species. The yeast member, designated PIM1, is located in the mitochondrial matrix, required for mitochondrial function, and also induced by heat shock."																									
TIGR02393	66.67703623	-0.837976935	0.674860553	-1.241703832	0.214345855	0.999533006	Transcription	Transcription factors	RpoD_Cterm	"RNA polymerase sigma factor RpoD, C-terminal domain"	rpoD	NA	"This model represents the well-conserved C-terminal region of the major, essential sigma factor of most bacteria. Members of this clade show considerable variability in domain architecture and molecular weight, as well as in nomenclature:"																									
TIGR01241	50.1174322	-1.676724765	0.834936488	-2.008206359	0.044621368	0.999533006	Cellular processes	Cell division	FtsH_fam	ATP-dependent metalloprotease FtsH	hflB	3.4.24.-	HflB(FtsH) is a pleiotropic protein required for correct cell division in bacteria. It has ATP-dependent zinc metalloprotease activity. It was formerly designated cell division protein FtsH.																									
TIGR02997	58.27084071	-0.944500742	0.73497046	-1.285086671	0.198761999	0.999533006	NA	NA	Sig70-cyanoRpoD	"RNA polymerase sigma factor, cyanobacterial RpoD-like family"	NA	NA	This family includes a number of closely related sigma-70 (TIGR02937) factors in the cyanobacteria.																									
TIGR02394	51.60172777	-0.545576363	0.730826	-0.746520188	0.455353241	0.999533006	Transcription	Transcription factors	rpoS_proteo	RNA polymerase sigma factor RpoS	rpoS	NA	"A sigma factor is a DNA-binding protein protein that binds to the DNA-directed RNA polymerase core to produce the holoenzyme capable of initiating transcription at specific sites. Different sigma factors act in vegetative growth, heat shock, extracytoplasmic functions (ECF), etc. This model represents the clade of sigma factors called RpoS (also called sigma-38, KatF, etc.), found only in Proteobacteria. This sigma factor is induced in stationary phase (in response to the stress of nutrient limitation) and becomes the second prinicipal sigma factor at that time."																									
TIGR03591	44.38119002	-1.833903714	0.90822058	-2.019227217	0.043463609	0.999533006	Transcription	Degradation of RNA	polynuc_phos	polyribonucleotide nucleotidyltransferase	pnp	2.7.7.8	"Members of this protein family are polyribonucleotide nucleotidyltransferase, also called polynucleotide phosphorylase. Some members have been shown also to have additional functions as guanosine pentaphosphate synthetase and as poly(A) polymerase (see model TIGR02696 for an exception clade, within this family)."																									
TIGR00168	50.44196569	-0.526712689	0.698561045	-0.753996652	0.450851232	0.999533006	Protein synthesis	Translation factors	infC	translation initiation factor IF-3	infC	NA	"infC uses abnormal initiation codons such as AUA, AUC, and CUG which render its expression particularly sensitive to excess of its gene product IF-3 thereby regulating its own expression"																									
TIGR02027	24.47060983	0.080015211	0.916782005	0.08727834	0.930450271	0.999533006	Transcription	DNA-dependent RNA polymerase	rpoA	"DNA-directed RNA polymerase, alpha subunit, bacterial and chloroplast-type"	rpoA	2.7.7.6	"This family consists of the bacterial (and chloroplast) DNA-directed RNA polymerase alpha subunit, encoded by the rpoA gene. The RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates. The amino terminal domain is involved in dimerizing and assembling the other RNA polymerase subunits into a transcriptionally active enzyme. The carboxy-terminal domain contains determinants for interaction with DNA and with transcriptional activator proteins."																									
TIGR01394	22.52777555	-0.3662022	0.967772876	-0.378396842	0.705135814	0.999533006	Regulatory functions	Other	TypA_BipA	GTP-binding protein TypA/BipA	typA	NA	"This bacterial (and Arabidopsis) protein, termed TypA or BipA, a GTP-binding protein, is phosphorylated on a tyrosine residue under some cellular conditions. Mutants show altered regulation of some pathways, but the precise function is unknown."																									
TIGR00382	44.65416489	-0.486345061	0.751394537	-0.647256583	0.517465896	0.999533006	Protein fate	"Degradation of proteins, peptides, and glycopeptides"	clpX	endopeptidase Clp ATP-binding regulatory subunit (clpX)	clpX	NA	"A member of the ATP-dependent proteases, ClpX has ATP-dependent chaperone activity and is required for specific ATP-dependent proteolytic activities expressed by ClpPX. The gene is also found to be involved in stress tolerance in Bacillus subtilis and is essential for the efficient acquisition of genes specifying type IA and IB restriction."																									
TIGR01068	34.90633353	0.674145162	0.800191735	0.842479536	0.39951959	0.999533006	Energy metabolism	Electron transport	thioredoxin	thioredoxin	trxA	NA	"Several proteins, such as protein disulfide isomerase, have two or more copies of a domain closely related to thioredoxin. This model is designed to recognize authentic thioredoxin, a small protein that should be hit exactly once by this HMM. Any protein that hits once with a score greater than the second (per domain) trusted cutoff may be taken as thioredoxin."																									
TIGR02388	58.34642196	-1.609121295	0.816668869	-1.970347292	0.048798582	0.999533006	Transcription	DNA-dependent RNA polymerase	rpoC2_cyan	"DNA-directed RNA polymerase, beta subunit"	NA	2.7.7.6	"The family consists of the product of the rpoC2 gene, a subunit of DNA-directed RNA polymerase of cyanobacteria and chloroplasts. RpoC2 corresponds largely to the C-terminal region of the RpoC (the beta subunit) of other bacteria. Members of this family are designated beta' in chloroplasts/plastids, and beta (confusingly) in Cyanobacteria, where RpoC1 is called beta in chloroplasts/plastids and gamma in Cyanobacteria. We prefer to name this family beta', after its organellar members, to emphasize that this RpoC1 and RpoC2 together replace RpoC in other bacteria.
RM"																									
TIGR02392	20.3187682	0.193421561	0.956265025	0.202267736	0.839707422	0.999533006	Transcription	Transcription factors	rpoH_proteo	alternative sigma factor RpoH	rpoH	NA	"A sigma factor is a DNA-binding protein protein that binds to the DNA-directed RNA polymerase core to produce the holoenzyme capable of initiating transcription at specific sites. Different sigma factors act in vegetative growth, heat shock, extracytoplasmic functions (ECF), etc. This model represents the clade of sigma factors called RpoH and further restricted to the Proteobacteria. This protein may be called sigma-32, sigma factor H, heat shock sigma factor, and alternative sigma factor RpoH. Note that in some species the single locus rpoH may be replaced by two or more differentially regulated stress response sigma factors."																									
TIGR00493	37.74830474	-0.422348428	0.777426215	-0.543264969	0.58694738	0.999533006	Protein fate	"Degradation of proteins, peptides, and glycopeptides"	clpP	"ATP-dependent Clp endopeptidase, proteolytic subunit ClpP"	clpP	3.4.21.92	"This model for the proteolytic subunit ClpP has been rebuilt to a higher stringency. In every bacterial genome with the ClpXP machine, a ClpP protein will be found that scores at least 370 by this HMM. In general, this ClpP member will be encoded adjacent to the clpX gene, as were all examples used in the seed alignment. A large fraction of genomes have one or more additional ClpP paralogs, sometimes encoded nearby and sometimes elsewhere. The stringency of the trusted cutoff used here excludes the more divergent ClpP paralogs from being called authentic ClpP by this model."																									
TIGR01980	36.4904131	-1.540358352	0.937637136	-1.642808602	0.10042254	0.999533006	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	sufB	FeS assembly protein SufB	sufB	NA	"This protein, SufB, forms a cytosolic complex SufBCD. This complex enhances the cysteine desulfurase of SufSE. The system, together with SufA, is believed to act in iron-sulfur cluster formation during oxidative stress. Note that SufC belongs to the family of ABC transporter ATP binding proteins, so this protein, encoded by an adjacent gene, has often been annotated as a transporter component."																									
TIGR02387	47.4593505	-0.998022463	0.819315541	-1.218117335	0.223179387	0.999533006	NA	NA	rpoC1_cyan	"DNA-directed RNA polymerase, gamma subunit"	rpoC1	2.7.7.6	"The RNA polymerase gamma subunit, encoded by the rpoC1 gene, is found in cyanobacteria and corresponds to the N-terminal region the beta subunit, encoded by rpoC, in other bacteria. The equivalent subunit in plastids and chloroplasts is designated beta, while the product of the rpoC2 gene is designated beta."																									
TIGR02006	18.61371096	2.628493841	1.0956873	2.398945246	0.016442373	0.999533006	Protein synthesis	tRNA and rRNA base modification	IscS	cysteine desulfurase IscS	iscS	2.8.1.7	"This HMM represents IscS, one of several cysteine desulfurases from a larger protein family designated (misleadingly, in this case) class V aminotransferases. IscS is one of at least 6 enzymes characteristic of the IscSUA-hscAB-fsx system of iron-sulfur cluster assembly. Scoring almost as well as proteobacterial sequences included in the model are mitochondrial cysteine desulfurases, apparently from an analogous system in eukaryotes. The sulfur, taken from cysteine, may be used in other systems as well, such as tRNA base modification and biosynthesis of other cofactors."																									
TIGR00483	36.65231843	-3.666960213	1.56214203	-2.347392325	0.018905337	0.999533006	Protein synthesis	Translation factors	EF-1_alpha	translation elongation factor EF-1 alpha	tuf	NA	This model represents the counterpart of bacterial EF-Tu for the Archaea (aEF-1 alpha) and Eukaryotes (eEF-1 alpha). The trusted cutoff is set fairly high so that incomplete sequences will score between suggested and trusted cutoff levels.																									
TIGR00008	46.5737102	-1.272968837	0.821892011	-1.548827364	0.121423226	0.999533006	Protein synthesis	Translation factors	infA	translation initiation factor IF-1	infA	NA	"This family consists of translation initiation factor IF-1 as found in bacteria and chloroplasts. This protein, about 70 residues in length, consists largely of an S1 RNA binding domain (PF00575)."																									
TIGR00767	30.11501153	-0.872609549	0.911069012	-0.957786443	0.338170457	0.999533006	Transcription	Transcription factors	rho	transcription termination factor Rho	rho	3.6.4.-	"This RNA helicase, the transcription termination factor Rho, occurs in nearly all bacteria but is missing from the Cyanobacteria, the Mollicutes (Mycoplasmas), and various Lactobacillales including Streptococcus. It is also missing, of course, from the Archaea, which also lack Nus factors.  Members of this family from Micrococcus luteus, Mycobacterium tuberculosis, and related species have a related but highly variable long, highly charged insert near the amino end. Members of this family differ in the specificity of RNA binding."																									
TIGR01818	15.51761794	0.023443414	1.153704308	0.020320123	0.983788003	0.999533006	Signal transduction	Two-component systems	ntrC	nitrogen regulation protein NR(I)	ntrC	NA	"This HMM represents NtrC, a DNA-binding response regulator that is phosphorylated by NtrB and interacts with sigma-54. NtrC usually controls the expression of glutamine synthase, GlnA, and may be called GlnL, GlnG, etc."																									
TIGR00962	33.14982676	-0.422494722	0.821135904	-0.514524721	0.606885181	0.999533006	Energy metabolism	ATP-proton motive force interconversion	atpA	"proton translocating ATP synthase, F1 alpha subunit"	atpA	3.6.3.14	"The sequences of ATP synthase F1 alpha and beta subunits are related and both contain a nucleotide-binding site for ATP and ADP. They have a common amino terminal domain but vary at the C-terminus. The beta chain has catalytic activity, while the alpha chain is a regulatory subunit. The alpha-subunit contains a highly conserved adenine-specific noncatalytic nucleotide-binding domain. The conserved amino acid sequence is Gly-X-X-X-X-Gly-Lys. Proton translocating ATP synthase F1, alpha subunit is homologous to proton translocating ATP synthase archaeal/vacuolar(V1), B subunit."																									
TIGR01817	17.57166986	0.585461633	1.041279409	0.562252194	0.573944205	0.999533006	Regulatory functions	DNA interactions	nifA	Nif-specific regulatory protein	nifA	NA	"This HMM represents NifA, a DNA-binding regulatory protein for nitrogen fixation. The model produces scores between the trusted and noise cutoffs for a well-described NifA homolog in Aquifex aeolicus (which lacks nitrogenase), for transcriptional activators of alternative nitrogenases (VFe or FeFe instead of MoFe), and truncated forms."																									
TIGR00963	32.48246828	-0.409151373	0.830105548	-0.492890782	0.622089761	0.999533006	Protein fate	Protein and peptide secretion and trafficking	secA	"preprotein translocase, SecA subunit"	secA	NA	"The proteins SecA-F and SecY, not all of which are necessary, comprise the standard prokaryotic protein translocation apparatus. Other, specialized translocation systems also exist but are not as broadly distributed. This HMM describes SecA, an essential member of the apparatus. This model excludes SecA2 of the accessory secretory system."																									
TIGR02037	24.51065525	-0.132502016	0.907498399	-0.146007989	0.883915082	0.999533006	Protein fate	"Degradation of proteins, peptides, and glycopeptides"	degP_htrA_DO	"periplasmic serine protease, Do/DeqQ family"	NA	3.4.21.-	"This family consists of a set proteins various designated DegP, heat shock protein HtrA, and protease DO. The ortholog in Pseudomonas aeruginosa is designated MucD and is found in an operon that controls mucoid phenotype. This family also includes the DegQ (HhoA) paralog in E. coli which can rescue a DegP mutant, but not the smaller DegS paralog, which cannot. Members of this family are located in the periplasm and have separable functions as both protease and chaperone. Members have a trypsin domain and two copies of a PDZ domain. This protein protects bacteria from thermal and other stresses and may be important for the survival of bacterial pathogens.// The chaperone function is dominant at low temperatures, whereas the proteolytic activity is turned on at elevated temperatures. [2]"																									
TIGR01039	28.56535812	-0.793076895	0.924092878	-0.858222062	0.390769856	0.999533006	Energy metabolism	ATP-proton motive force interconversion	atpD	"ATP synthase, F1 beta subunit"	atpD	3.6.3.14	"The sequences of ATP synthase F1 alpha and beta subunits are related and both contain a nucleotide-binding site for ATP and ADP. They have a common amino terminal domain but vary at the C-terminus. The beta chain has catalytic activity, while the alpha chain is a regulatory subunit. Proton translocating ATP synthase,"																									
TIGR00517	18.5270579	0.000600768	1.026444069	0.00058529	0.999533006	0.999533006	Fatty acid and phospholipid metabolism	Biosynthesis	acyl_carrier	acyl carrier protein	acpP	NA	"This small protein has phosphopantetheine covalently bound to a Ser residue. It acts as a carrier of the growing fatty acid chain, which is bound to the prosthetic group, during fatty acid biosynthesis. Homologous phosphopantetheine-binding domains are found in longer proteins. Acyl carrier proteins scoring above the noise cutoff but below the trusted cutoff may be specialized versions. These include those involved in mycolic acid biosynthesis in the Mycobacteria, lipid A biosynthesis in Rhizobium, actinorhodin polyketide synthesis in Streptomyces coelicolor, etc. This protein is not found in the Archaea. Gene name acpP. S (Ser) at position 37 in the seed alignment, in the motif DSLD, is the phosphopantetheine attachment site."																									
TIGR01059	20.25252443	-1.719299788	1.317221725	-1.305247063	0.191808733	0.999533006	DNA metabolism	"DNA replication, recombination, and repair"	gyrB	"DNA gyrase, B subunit"	gyrB	5.99.1.3	"This model describes the common type II DNA topoisomerase (DNA gyrase). Two apparently independently arising families, one in the Proteobacteria and one in Gram-positive lineages, are both designated toposisomerase IV. Proteins scoring above the noise cutoff for this model and below the trusted cutoff for topoisomerase IV models probably should be designated GyrB."																									
TIGR02915	15.55575848	0.488347244	1.131790677	0.431481946	0.666117977	0.999533006	Regulatory functions	DNA interactions	PEP_resp_reg	PEP-CTERM-box response regulator transcription factor	prsR	NA	Members of this protein family share full-length homology with																									
TIGR00487	32.48562523	-1.317795671	0.956362839	-1.377924379	0.168226637	0.999533006	Protein synthesis	Translation factors	IF-2	translation initiation factor IF-2	infB	NA	"This model discriminates eubacterial (and mitochondrial) translation initiation factor 2 (IF-2), encoded by the infB gene in bacteria, from similar proteins in the Archaea and Eukaryotes. In the bacteria and in organelles, the initiator tRNA is charged with N-formyl-Met instead of Met. This translation factor acts in delivering the initator tRNA to the ribosome. It is one of a number of GTP-binding translation factors recognized by the pfam HMM GTP_EFTU."																									
TIGR03402	13.41823733	2.569527001	1.128006802	2.277935732	0.022730407	0.999533006	NA	NA	FeS_nifS	cysteine desulfurase NifS	nifS	2.8.1.7	"Members of this protein family are NifS, one of several related families of cysteine desulfurase involved in iron-sulfur (FeS) cluster biosynthesis. NifS is part of the NIF system, usually associated with other nif genes involved in nitrogenase expression and nitrogen fixation. The protein family is given a fairly broad interpretation here. It includes a clade nearly always found in extended nitrogen fixation genomic regions, plus a second clade more closely related to the first than to IscS and also part of NifS-like/NifU-like systems. This model does not extend to a more distantly clade found in the epsilon proteobacteria such as Helicobacter pylori, also named NifS in the literature, built instead in TIGR03403."																									
TIGR00653	23.48625	0.533559329	0.875475603	0.609450826	0.542225657	0.999533006	Amino acid biosynthesis	Glutamate family	GlnA	"glutamine synthetase, type I"	glnA	6.3.1.2	"Alternate name: glutamate--ammonia ligase. This model represents the dodecameric form, which can be subdivided into 1-alpha and 1-beta forms. The phylogeny of the 1-alpha and 1-beta forms appears polyphyletic. E. coli, Synechocystis PCC6803, Aquifex aeolicus, and the crenarcheon Sulfolobus acidocaldarius have form 1-beta, while Bacillus subtilis, Thermotoga maritima, and various euryarchaea has form 1-alpha. The 1-beta dodecamer from the crenarcheon Sulfolobus acidocaldarius differs from that in E. coli in that it is not regulated by adenylylation."																									
TIGR02939	9.064501807	2.207941474	1.259654725	1.752814823	0.079633798	0.999533006	NA	NA	RpoE_Sigma70	RNA polymerase sigma factor RpoE	rpoE	NA	"A sigma factor is a DNA-binding protein protein that binds to the DNA-directed RNA polymerase core to produce the holoenzyme capable of initiating transcription at specific sites. Different sigma factors act in vegetative growth, heat shock, extracytoplasmic functions (ECF), etc. This model represents the clade of sigma factors called RpoE. This protein may be called sigma-24, sigma-E factor, sigma-H factor, fecI-like sigma factor or alternative sigma factor AlgU."																									
TIGR01393	16.30385048	-0.735921637	1.246444525	-0.590416679	0.554911331	0.999533006	Unknown function	General	lepA	elongation factor 4	lepA	3.6.5.-	"LepA (GUF1 in Saccaromyces), now called elongation factor 4, is a GTP-binding membrane protein related to EF-G and EF-Tu. Two types of phylogenetic tree, rooted by other GTP-binding proteins, suggest that eukaryotic homologs (including GUF1 of yeast) originated within the bacterial LepA family. The function is unknown."																									
TIGR00922	20.11795996	1.387235315	0.909483797	1.525299647	0.127184376	0.999533006	Transcription	Transcription factors	nusG	transcription termination/antitermination factor NusG	nusG	NA	"NusG proteins are transcription factors which are aparrently universal in prokaryotes (archaea and eukaryotes have homologs that may have related functions). The function of all of these NusG proteins is likely to be the same at the level of interaction with RNA and other protein factors to affect termination; however different species may utilize NusG towards different processes and in combination with different suites of affector proteins. In E. coli, NusG promotes rho-dependent termination. It is an essential gene. In Streptomyces virginiae and related species, an additional N-terminal sequence is also present and is suggested to play a role in butyrolactone-mediated autoregulation. In Thermotoga maritima, NusG has a long insert, fails to substitute for E. coli NusG (with or without the long insert), is a large 0.7 % of total cellular protein, and has a general, sequence non-specific DNA and RNA binding activity that blocks ethidium staining, yet permits transcription. Archaeal proteins once termed NusG share the KOW domain but are actually a ribosomal protein corresponding to L24p in bacterial and L26e in eukaryotes (TIGR00405)."																									
TIGR01622	3.813423359	1.263290025	2.075367771	0.608706583	0.542718943	0.999533006	NA	NA	SF-CC1	"splicing factor, CC1-like family"	NA	NA	"This model represents a subfamily of RNA splicing factors including the Pad-1 protein (N. crassa), CAPER (M. musculus) and CC1.3 (H.sapiens). A homologous gene from Plasmodium falciparum was identified in the course of the analysis of that genome at TIGR [4] and was included in the seed."																									
TIGR02696	36.56975527	-1.499450515	0.952300758	-1.574555625	0.115359052	0.999533006	NA	NA	pppGpp_PNP	guanosine pentaphosphate synthetase I/polynucleotide phosphorylase	gpsI	2.7.-.- 2.7.7.8	"Sohlberg, et al. [1] present characterization of two proteins from Streptomyces coelicolor. The protein in this family was shown to have poly(A) polymerase activity and may be responsible for polyadenylating RNA in this species. Reference 2 showed that a nearly identical plasmid-encoded protein from Streptomyces antibioticus is a bifunctional enzyme that acts also as a guanosine pentaphosphate synthetase."																									
TIGR03265	13.574035	0.223176314	1.159118881	0.192539625	0.847319533	0.999533006	Transport and binding proteins	"Amino acids, peptides and amines"	PhnT2	"putative 2-aminoethylphosphonate ABC transporter, ATP-binding protein"	NA	NA	This ABC transporter ATP-binding protein is found in a number of genomes in operon-like contexts strongly suggesting a substrate specificity for 2-aminoethylphosphonate (2-AEP).																									
TIGR03625	14.23378278	0.541541946	1.081148883	0.500894886	0.616445102	0.999533006	NA	NA	L3_bact	"50S ribosomal protein uL3, bacterial form"	rplC	NA	"This model describes bacterial (and mitochondrial and chloroplast) class of ribosomal protein L3. A separate model describes the archaeal form, where both belong to Pfam family PF00297. The name is phrased to meet the needs of bacterial genome annotation. Organellar forms typically will have transit peptides, N-terminal to the region modeled here."																									
TIGR00936	20.54737831	-1.683685185	1.287350008	-1.307869013	0.190917741	0.999533006	Energy metabolism	Amino acids and amines	ahcY	adenosylhomocysteinase	ahcY	3.3.1.1	"This enzyme hydrolyzes adenosylhomocysteine as part of a cycle for the regeneration of the methyl donor S-adenosylmethionine. Species that lack this enzyme are likely to have adenosylhomocysteine nucleosidase (EC 3.2.2.9), an enzyme which also acts as 5-methyladenosine nucleosidase (see TIGR01704).
DR"																									
TIGR04397	21.50751807	0.057438285	0.943764465	0.060860826	0.951470048	0.999533006	Protein fate	Protein and peptide secretion and trafficking	SecA2_Bac_anthr	"accessory Sec system translocase SecA2, Bacillus type"	secA2	NA	"Members of this family always occur in genomes with the preprotein translocase SecA (TIGR00963) and closely resemble it, hence the designation SecA2. However, this appears to mark a different type of accessory Sec system SecA2 (TIGR03714) from the serine-rich glycoprotein type found in Staphylococcus and Streptococcus, and the actinobacterial SecA2 (TIGR04221). This type occurs in species including Bacillus anthracis, Geobacillus thermoglucosidasius, Solibacillus silvestris, etc."																									
TIGR01999	7.038359018	0.792359566	1.649177011	0.480457562	0.630902072	0.999533006	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	iscU	FeS cluster assembly scaffold IscU	iscU	NA	"This HMM represents IscU, a homolog of the N-terminal region of NifU, an Fe-S cluster assembly protein found mostly in nitrogen-fixing bacteria. IscU is considered part of the IscSUA-hscAB-fdx system of Fe-S assembly, whereas NifU is found in nitrogenase-containing (nitrogen-fixing) species. A NifU-type protein is also found in Helicobacter and Campylobacter. IscU and NifU are considered scaffold proteins on which Fe-S clusters are assembled before transfer to apoproteins. This model excludes true NifU proteins as in Klebsiella pneumoniae and Anabaena sp. as well as archaeal homologs. It includes largely proteobacterial and eukaryotic forms."																									
TIGR02329	11.93698916	0.017842638	1.349268662	0.013223933	0.989449136	0.999533006	Regulatory functions	DNA interactions	propionate_PrpR	propionate catabolism operon regulatory protein PrpR	prpR	NA	"At least five distinct pathways exists for the catabolism of propionate by way of propionyl-CoA. Members of this family represent the transcriptional regulatory protein PrpR, whose gene is found in most cases divergently transcribed from an operon for the methylcitric acid cycle of propionate catabolism. 2-methylcitric acid, a catabolite by this pathway, is a coactivator of PrpR."																									
TIGR02974	11.73191429	0.042867982	1.326683372	0.032312142	0.974223126	0.999533006	Regulatory functions	DNA interactions	phageshock_pspF	psp operon transcriptional activator PspF	pspF	NA	"Members of this protein family are PspF, the sigma-54-dependent transcriptional activator of the phage shock protein (psp) operon, in Escherichia coli and numerous other species. The psp operon is induced by a number of stress conditions, including heat shock, ethanol, and filamentous phage infection."																									
TIGR02349	9.681261464	-0.534640501	1.465222523	-0.364886898	0.715195835	0.999533006	NA	NA	DnaJ_bact	chaperone protein DnaJ	dnaJ	NA	"This model represents bacterial forms of DnaJ, part of the DnaK-DnaJ-GrpE chaperone system. The three components typically are encoded by consecutive genes. DnaJ homologs occur in many genomes, typically not near DnaK and GrpE-like genes; most such genes are not included by this family. Eukaryotic (mitochondrial and chloroplast) forms are not included in the scope of this family."																									
