gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj							
TIGR01859	40.63898435	1.796976257	0.337369402	5.326435198	1.00E-07	1.04E-05	Energy metabolism	Glycolysis/gluconeogenesis	fruc_bis_ald_	"fructose-1,6-bisphosphate aldolase, class II, various bacterial and amitochondriate protist"	fba	4.1.2.13	"This HMM represents of one of several subtypes of the class II fructose-1,6-bisphosphate aldolase, an enzyme of glycolysis. The subtypes are split into several HMMs to allow separation of a family of tagatose bisphosphate aldolases. This form is found in Gram-positive bacteria, a variety of Gram-negative, and in amitochondriate protists. The class II enzymes share homology with tagatose bisphosphate aldolase but not with class I aldolase."
TIGR01925	20.17819434	6.05746844	1.170027863	5.177200161	2.25E-07	2.14E-05	Regulatory functions	Protein interactions	spIIAB	anti-sigma F factor	spoIIAB	2.7.11.1	"This model describes the SpoIIAB anti-sigma F factor. Sigma F regulates spore development in B subtilis. SpoIIAB binds to sigma F, preventing formation of the transcription complex at the promoter.[1] SpoIIAA (anti-anti-sigma F factor) binds to SpoIIAB to inhibit association with sigma F, however SpoIIAB can phosphorylate SpoIIAA, causing disassociation of the SpoIIAA/B complex.[2] The SpoIIE phosphatase dephosphorylates SpoIIAA."
TIGR01968	33.65793105	2.013698132	0.394056888	5.110171133	3.22E-07	2.82E-05	Cellular processes	Cell division	minD_bact	septum site-determining protein MinD	minD	NA	"This HMM describes the bacterial and chloroplast form of MinD, a multifunctional cell division protein that guides correct placement of the septum. The homologous archaeal MinD proteins, with many archaeal genomes having two or more forms, are described by a separate model."
TIGR01733	54.83691595	-1.163355252	0.230356308	-5.050242651	4.41E-07	3.59E-05	NA	NA	AA-adenyl-dom	amino acid adenylation domain	NA	NA	"This model represents a domain responsible for the specific recognition of amino acids and activation as adenylyl amino acids. These domains are usually found as components of multi-domain non-ribosomal peptide synthetases and are usually called A-domains in that context (for a review, see [1]). This domain is a subset of the AMP-binding domain found in Pfam (PF00501) which also hits substrate--CoA ligases and luciferases."
TIGR02844	7.700496335	5.744572936	1.155892342	4.96981659	6.70E-07	5.09E-05	Regulatory functions	DNA interactions	spore_III_D	sporulation transcriptional regulator SpoIIID	spoIIID	NA	"Members of this protein are the transcriptional regulator SpoIIID, or stage III sporulation protein D. It is present in genomes if and only if the species is capable of endospore formation as occurs in the model species Bacillus subtilis. SpoIIID is a DNA binding protein that, in B. subtilis, downregulates many genes but also turns on ten genes."
TIGR01837	67.10425577	3.529968353	0.719235252	4.907946801	9.20E-07	6.56E-05	Fatty acid and phospholipid metabolism	Biosynthesis	PHA_granule_1	poly(hydroxyalkanoate) granule-associated protein	NA	NA	"This HMM describes a domain found in some proteins associated with polyhydroxyalkanoate (PHA) granules in a subset of species that have PHA inclusion granules. Included are two tandem proteins of Pseudomonas oleovorans, PhaI and PhaF, and their homologs in related species. PhaF proteins have a low-complexity C-terminal region with repeats similar to AAAKP."
TIGR02428	59.0929235	1.514632697	0.31029452	4.881274406	1.05E-06	7.07E-05	NA	NA	pcaJ_scoB_fam	"3-oxoacid CoA-transferase, B subunit"	NA	2.8.3.-	"Various members of this family are characterized as the B subunits of succinyl-CoA:3-ketoacid-CoA transferase (EC 2.8.3.5), beta-ketoadipate:succinyl-CoA transferase (EC 2.8.3.6), acetyl-CoA:acetoacetate CoA transferase (EC 2.8.3.8), and butyrate-acetoacetate CoA-transferase (EC 2.8.3.9)."
TIGR00505	56.19508708	-0.953487501	0.196343148	-4.856230068	1.20E-06	7.18E-05	"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Riboflavin, FMN, and FAD"	ribA	GTP cyclohydrolase II	ribA	3.5.4.25	"Several members of the family are bifunctional, involving both ribA and ribB function. In these cases, ribA tends to be on the C-terminal end of the protein and ribB tends to be on the N-terminal. The function of archaeal members of the family has not been demonstrated and is assigned tentatively."
TIGR04555	34.65842529	-1.951767326	0.401402897	-4.862364824	1.16E-06	7.18E-05	NA	NA	sulfite_DH_soxC	sulfite dehydrogenase	soxC	1.8.2.1	Members of this family are the sulfite dehydrogenase SoxC. All members have a twin-arginine translocation (TAT) signal for secretion of proteins with bound cofactor across the plasma membrane.
TIGR01433	29.93454213	3.176749648	0.660212211	4.811709925	1.50E-06	8.53E-05	Energy metabolism	Electron transport	CyoA	cytochrome o ubiquinol oxidase subunit II	cyoA	1.10.3.-	This enzyme catalyzes the oxidation of ubiquinol with the concomitant reduction of molecular oxygen to water.
TIGR03435	12.09941315	-1.928718749	0.402423789	-4.792755299	1.65E-06	8.93E-05	NA	NA	Soli_TIGR03435	"soil-associated protein, TIGR03435 family"	NA	NA	"Bacterial reference strains encoding members of this protein family are all isolated from soil. These include 39 members from Solibacter usitatus Ellin6076, 27 from Acidobacterium sp. MP5ACTX8 (both Acidobacteria), and four from Pedosphaera parvula Ellin514 (Verrucomicrobia). The family is well-diversified, with few pairs showing greater than 50 % pairwise identity. A few members are fused to Peptidase_M56 domains (see PF05569), to Sigma70_r2 domains (see PF04542), or have a duplication of this domain."
TIGR03434	106.5239622	-1.220317982	0.259470079	-4.703116399	2.56E-06	0.000132769	NA	NA	ADOP	Acidobacterial duplicated orphan permease	NA	NA	"Members of this protein family are found, so far, only in three species of Acidobacteria, namely Acidobacteria bacterium Ellin345, Acidobacterium capsulatum ATCC 51196, and Solibacter usitatus Ellin6076, where they form large paralogous families. Each protein contains two copies of a domain called the efflux ABC transporter permease protein (PF02687). However, unlike other members of that family (including LolC, FtsX, and MacB), genes for these proteins are essentially never found fused or adjacent to ABC transporter ATP-binding protein (PF00005) genes. We name this family ADOP, for Acidobacterial Duplicated Orphan Permease, to reflect the restricted lineage, internal duplication, lack of associated ATP-binding cassette proteins, and permease homology. The function is unknown."
TIGR01108	32.76105832	2.518494514	0.536609467	4.693347151	2.69E-06	0.000133217	Transport and binding proteins	Cations and iron carrying compounds	oadA	oxaloacetate decarboxylase alpha subunit	oadA	4.1.1.3	This model describes the bacterial oxaloacetate decarboxylase alpha subunit and its equivalents in archaea. The oxaloacetate decarboxylase Na+ pump is the paradigm of the family of Na+ transport decarboxylases that present in bacteria and archaea. It a multi subunit enzyme consisting of a peripheral alpha-subunit and integral membrane subunits beta and gamma. The energy released by the decarboxylation reaction of oxaloacetate is coupled to Na+ ion pumping across the membrane.
TIGR01346	110.3106516	1.325145439	0.286009248	4.633225849	3.60E-06	0.000171005	Energy metabolism	TCA cycle	isocit_lyase	isocitrate lyase	aceA	4.1.3.1	"Isocitrate lyase and malate synthase are the enzymes of the glyoxylate shunt, a pathway associated with the TCA cycle."
TIGR03824	10.43848298	3.29579921	0.713647719	4.618243879	3.87E-06	0.000176473	NA	NA	FlgM_jcvi	flagellar biosynthesis anti-sigma factor FlgM	flgM	NA	"FlgM interacts with and inhibits the alternative sigma factor sigma(28) FliA [1,2,3]."
TIGR00174	11.94915748	1.904620783	0.414561573	4.594301323	4.34E-06	0.000190381	Protein synthesis	tRNA and rRNA base modification	miaA	tRNA dimethylallyltransferase	miaA	2.5.1.75	"Alternate names include delta(2)-isopentenylpyrophosphate transferase, IPP transferase, 2-methylthio-N6-isopentyladenosine tRNA modification enzyme. Catalyzes the first step in the modification of an adenosine near the anticodon to 2-methylthio-N6-isopentyladenosine. Understanding of substrate specificity has changed."
TIGR02974	297.4039127	-1.198759555	0.26278862	-4.561687472	5.07E-06	0.000214253	Regulatory functions	DNA interactions	phageshock_pspF	psp operon transcriptional activator PspF	pspF	NA	"Members of this protein family are PspF, the sigma-54-dependent transcriptional activator of the phage shock protein (psp) operon, in Escherichia coli and numerous other species. The psp operon is induced by a number of stress conditions, including heat shock, ethanol, and filamentous phage infection."
TIGR01521	41.75855017	1.34540319	0.30401372	4.425468654	9.62E-06	0.000391806	NA	NA	FruBisAldo_II_B	"fructose-bisphosphate aldolase, class II, Calvin cycle subtype"	fba	4.1.2.13	"Members of this family are class II examples of the enzyme fructose-bisphosphate aldolase, an enzyme both of glycolysis and (in the opposite direction) of the Calvin cycle of CO2 fixation. A deep split separates the tightly conserved yeast/E. coli/Mycobacterium subtype (all species lacking the Calvin cycle) represented by model TIGR01520 from a broader group of aldolases that includes both tagatose- and fructose-bisphosphate aldolases. This model represents a distinct, elongated, very well conserved subtype within the latter group. Most species with this aldolase subtype have the Calvin cycle."
TIGR02999	18.99951879	-1.775981312	0.403105572	-4.405747366	1.05E-05	0.000414409	NA	NA	Sig-70_X6	"RNA polymerase sigma factor, TIGR02999 family"	NA	NA	This group of sigma factors are members of the sigma-70 family (TIGR02937) and are found in a variety of species including Rhodopirellula baltica which encodes a paralogous group of five.
TIGR02136	61.61730757	2.507990713	0.58804486	4.264964942	2.00E-05	0.000683969	Transport and binding proteins	Anions	ptsS_2	phosphate binding protein	pstS	NA	"Members of this family are phosphate-binding proteins. Most are found in phosphate ABC-transporter operons, but some are found in phosphate regulatory operons. This HMM separates members of the current family from the phosphate ABC transporter phosphate binding protein described by TIGRFAMs model TIGR00975."
TIGR01145	34.35733801	1.735154072	0.407267526	4.260477357	2.04E-05	0.000683969	Energy metabolism	ATP-proton motive force interconversion	ATP_synt_delta	"ATP synthase, F1 delta subunit"	atpH	3.6.3.14	"This model describes the ATP synthase delta subunit in bacteria,"
TIGR01124	20.80172517	1.212559913	0.283455695	4.277775807	1.89E-05	0.000683969	Amino acid biosynthesis	Pyruvate family	ilvA_2Cterm	"threonine ammonia-lyase, biosynthetic, long form"	ilvA	4.3.1.19	"This model describes a form of threonine ammonia-lyase, a pyridoxal-phosphate dependent enzyme, with two copies of the threonine dehydratase C-terminal domain (Pfam:PF00585). Members with known function participate in isoleucine biosynthesis and are inhibited by isoleucine. Alternate name: threonine deaminase, threonine dehydratase. Forms scoring between the trusted and noise cutoff tend to branch with this subgroup of threonine ammonia-lyase phylogenetically but have only a single copy of the C-terminal domain."
TIGR01817	441.8917741	-1.123722769	0.26344623	-4.265472951	1.99E-05	0.000683969	Regulatory functions	DNA interactions	nifA	Nif-specific regulatory protein	nifA	NA	"This HMM represents NifA, a DNA-binding regulatory protein for nitrogen fixation. The model produces scores between the trusted and noise cutoffs for a well-described NifA homolog in Aquifex aeolicus (which lacks nitrogenase), for transcriptional activators of alternative nitrogenases (VFe or FeFe instead of MoFe), and truncated forms."
TIGR01646	13.6692064	-1.643679175	0.385725525	-4.261266286	2.03E-05	0.000683969	NA	NA	vgr_GE	Rhs element Vgr protein	NA	NA	"This HMM represents the Vgr family of proteins, associated with some classes of Rhs elements. This model does not include a large octapeptide repeat region, VGXXXXXX, found in the Vgr of Rhs classes G and E."
TIGR01320	21.53935916	2.704010572	0.63913458	4.2307374	2.33E-05	0.000758675	Energy metabolism	TCA cycle	mal_quin_oxido	malate:quinone-oxidoreductase	mqo	1.1.5.4	"This membrane-associated enzyme is an alternative to the better-known NAD-dependent malate dehydrogenase as part of the TCA cycle. The reduction of a quinone rather than NAD+ makes the reaction essentially irreversible in the direction of malate oxidation to oxaloacetate. Both forms of malate dehydrogenase are active in E. coli; disruption of this form causes less phenotypic change. In some bacteria, this form is the only or the more important malate dehydrogenase."
TIGR00362	126.2454632	-0.806662702	0.191786645	-4.206042101	2.60E-05	0.000779646	DNA metabolism	"DNA replication, recombination, and repair"	DnaA	chromosomal replication initiator protein DnaA	dnaA	NA	"DnaA is involved in DNA biosynthesis; initiation of chromosome replication and can also be transcription regulator. The C-terminal of the family hits the pfam bacterial DnaA (bac_dnaA) domain family. For a review, see Kaguni (2006)."
TIGR02915	370.3793026	-1.09016972	0.259130552	-4.207028894	2.59E-05	0.000779646	Regulatory functions	DNA interactions	PEP_resp_reg	PEP-CTERM-box response regulator transcription factor	prsR	NA	Members of this protein family share full-length homology with
TIGR03619	46.113202	-1.543814156	0.366146508	-4.21638367	2.48E-05	0.000779646	Unknown function	Enzymes of unknown specificity	F420_Rv2161c	"probable F420-dependent oxidoreductase, Rv2161c family"	NA	1.-.-.-	"Coenzyme F420 has a limited phylogenetic distribution, including methanogenic archaea, Mycobacterium tuberculosis and related species, Colwellia psychrerythraea 34H, Rhodopseudomonas palustris HaA2, and others. Partial phylogenetic profiling identifies protein subfamilies, within the larger family called luciferase-like monooxygenanases (PF00296), that appear only in F420-positive genomes and are likely to be F420-dependent. This model describes a domain found in a distinctive subset of bacterial luciferase homologs, found only in F420-biosynthesizing members of the Actinobacteria."
TIGR01735	30.00230599	1.631934722	0.389544233	4.189343814	2.80E-05	0.000793788	"Purines, pyrimidines, nucleosides, and nucleotides"	Purine ribonucleotide biosynthesis	FGAM_synt	"phosphoribosylformylglycinamidine synthase, single chain form"	purL	6.3.5.3	"This HMM represents a single-molecule form of phosphoribosylformylglycinamidine synthase, also called FGAM synthase, an enzyme of purine de novo biosynthesis. This form is found mostly in eukaryotes and Proteobacteria. In Bacillus subtilis PurL (FGAM synthase II) and PurQ (FGAM synthase I), homologous to different parts of this model, perform the equivalent function; the unrelated small protein PurS is also required and may be a third subunit."
TIGR00167	53.36181569	1.203633643	0.287950166	4.180006767	2.92E-05	0.000793788	Energy metabolism	Glycolysis/gluconeogenesis	cbbA	ketose-bisphosphate aldolase	NA	EC 4.1.2.-	This model is under revision. Proteins found by this model include fructose-bisphosphate and tagatose-bisphosphate aldolase.
TIGR02445	93.25984608	0.777812216	0.186098278	4.179577715	2.92E-05	0.000793788	Fatty acid and phospholipid metabolism	Degradation	fadA	"fatty oxidation complex, beta subunit FadA"	fadA	2.3.1.16	"This subunit of the FadBA complex has acetyl-CoA C-acyltransferase (EC 2.3.1.16) activity, and is also known as beta-ketothiolase and fatty oxidation complex, beta subunit. This protein is almost always located adjacent to FadB (TIGR02437)."
TIGR00089	99.41300657	-0.575266026	0.13764754	-4.179268492	2.92E-05	0.000793788	NA	NA	TIGR00089	"radical SAM methylthiotransferase, MiaB/RimO family"	NA	2.1.1.- 2.8.1.-	"This subfamily contains the tRNA-i(6)A37 modification enzyme, MiaB (TIGR01574). This subfamily is aparrently a part of a larger superfamily of enzymes utilizing both a 4Fe4S cluster and S-adenosyl methionine"
TIGR01105	43.74809164	2.000520831	0.481623172	4.153705523	3.27E-05	0.00082874	Regulatory functions	Protein interactions	galF	"UTP-glucose-1-phosphate uridylyltransferase, non-catalytic GalF subunit"	galF	NA	GalF is a non-catalytic subunit of the UTP-glucose pyrophosphorylase modulating the enzyme activity to increase the formation of UDP-glucose
TIGR01091	13.08991687	1.898468158	0.456952197	4.154631861	3.26E-05	0.00082874	"Purines, pyrimidines, nucleosides, and nucleotides"	Salvage of nucleosides and nucleotides	upp	uracil phosphoribosyltransferase	upp	2.4.2.9	"A fairly deep split in phylogenetic and UPGMA trees separates this mostly prokaryotic set of uracil phosphoribosyltransferases from a mostly eukaryotic set that includes uracil phosphoribosyltransferase, uridine kinases, and other, uncharacterized proteins."
TIGR00809	13.18187514	1.701639968	0.408683673	4.163709194	3.13E-05	0.00082874	Protein fate	Protein and peptide secretion and trafficking	secB	protein-export chaperone SecB	secB	NA	"This protein acts as an export-specific cytosolic chaperone. It binds the mature region of pre-proteins destined for secretion, prevents aggregation, and delivers them to SecA. This protein is tetrameric in E. coli. The archaeal Methanococcus jannaschii homolog MJ0357 has been shown (PMID:14985117) to share many properties, including chaperone-like activity, and scores between trusted and noise."
TIGR01961	48.70976787	-0.838722203	0.203583655	-4.119791456	3.79E-05	0.000919799	Energy metabolism	Electron transport	NuoC_fam	"NADH (or F420H2) dehydrogenase, subunit C"	nuoC	NA	"This model describes the C subunit of the NADH dehydrogenase complex I in bacteria, as well as many instances of the corresponding mitochondrial subunit (NADH dehydrogenase subunit 9) and of the F420H2 dehydrogenase in Methanosarcina. Complex I contains subunits designated A-N. This C subunit often occurs as a fusion protein with the D subunit. This model excludes the NAD(P)H and plastoquinone-dependent form of chloroplasts and"
TIGR03358	44.0390147	-1.291275372	0.313234641	-4.122390066	3.75E-05	0.000919799	Cellular processes	Pathogenesis	VI_chp_5	"type VI secretion protein, VC_A0107 family"	NA	NA	"Work by Mougous, et al. (2006), describes IAHP-related loci as a type VI secretion system (PMID:16763151). This protein family is associated with type VI secretion loci, although not treated explicitly by Mougous, et al."
TIGR02007	17.41682875	1.487667666	0.363531998	4.09226058	4.27E-05	0.001014572	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	fdx_isc	"ferredoxin, 2Fe-2S type, ISC system"	fdx	NA	"This family consists of proteobacterial ferredoxins associated with and essential to the ISC system of 2Fe-2S cluster assembly. This family is closely related to (but excludes) eukaryotic (mitochondrial) adrenodoxins, which are ferredoxins involved in electron transfer to P450 cytochromes."
TIGR01818	443.8316356	-1.070973487	0.264366278	-4.051097189	5.10E-05	0.001186019	Signal transduction	Two-component systems	ntrC	nitrogen regulation protein NR(I)	ntrC	NA	"This HMM represents NtrC, a DNA-binding response regulator that is phosphorylated by NtrB and interacts with sigma-54. NtrC usually controls the expression of glutamine synthase, GlnA, and may be called GlnL, GlnG, etc."
TIGR01481	20.88615866	2.03598332	0.5037426	4.041713603	5.31E-05	0.001186092	Regulatory functions	DNA interactions	ccpA	catabolite control protein A	ccpA	NA	Catabolite control protein A is a LacI family global transcriptional regulator found in Gram-positive bacteria.
TIGR00183	111.4089988	0.80381381	0.19870239	4.045315258	5.23E-05	0.001186092	Energy metabolism	TCA cycle	prok_nadp_idh	"isocitrate dehydrogenase, NADP-dependent, prokaryotic type"	icd	1.1.1.42	"Several NAD- or NADP-dependent dehydrogenases, including 3-isopropylmalate dehydrogenase, tartrate dehydrogenase, and the multimeric forms of isocitrate dehydrogenase, share a nucleotide binding domain unrelated to that of lactate dehydrogenase and its homologs. These enzymes dehydrogenate their substates at a H-C-OH site adjacent to a H-C-COOH site;  Prokaryotic NADP-dependent isocitrate dehydrogenases resemble their NAD-dependent counterparts and 3-isopropylmalate dehydrogenase (an NAD-dependent enzyme) more closely than they resemble eukaryotic NADP-dependent isocitrate dehydrogenases."
TIGR03346	1889.734773	-0.723285769	0.179344154	-4.032948679	5.51E-05	0.001207552	Protein fate	Protein folding and stabilization	chaperone_ClpB	ATP-dependent chaperone ClpB	clpB	NA	"Members of this protein family are the bacterial ATP-dependent chaperone ClpB. This protein belongs to the AAA family, ATPases associated with various cellular activities (PF00004). This molecular chaperone does not act as a protease, but rather serves to disaggregate misfolded and aggregated proteins."
TIGR00103	25.15777374	1.325601317	0.331142964	4.003108813	6.25E-05	0.001344674	Unknown function	General	DNA_YbaB_EbfC	"DNA-binding protein, YbaB/EbfC family"	NA	NA	"The function of this protein is unknown, but it has been expressed and crystallized. Its gene nearly always occurs next to recR and/or dnaX. It is restricted to Bacteria and the plant Arabidopsis. The plant form contains an additional N-terminal region that may serve as a transit peptide and shows a close relationship to the cyanobacterial member, suggesting that it is a chloroplast protein. Members of this family are found in a single copy per bacterial genome, but are broadly distributed. A member is present even in the minimal gene complement of Mycoplasm genitalium."
TIGR03345	1194.097604	-0.673957651	0.169182726	-3.983607938	6.79E-05	0.001432955	Protein fate	Protein and peptide secretion and trafficking	VI_ClpV1	"type VI secretion ATPase, ClpV1 family"	clpV	NA	"Members of this protein family are homologs of ClpB, an ATPase associated with chaperone-related functions. These ClpB homologs, designated ClpV1, are a key component of the bacterial pathogenicity-associated type VI secretion system."
TIGR02329	289.2657871	-1.026534745	0.258574637	-3.969974619	7.19E-05	0.001489882	Regulatory functions	DNA interactions	propionate_PrpR	propionate catabolism operon regulatory protein PrpR	prpR	NA	"At least five distinct pathways exists for the catabolism of propionate by way of propionyl-CoA. Members of this family represent the transcriptional regulatory protein PrpR, whose gene is found in most cases divergently transcribed from an operon for the methylcitric acid cycle of propionate catabolism. 2-methylcitric acid, a catabolite by this pathway, is a coactivator of PrpR."
TIGR00110	91.85100537	1.006519355	0.255105033	3.945509592	7.96E-05	0.001606773	Amino acid biosynthesis	Pyruvate family	ilvD	dihydroxy-acid dehydratase	ilvD	4.2.1.9	"This protein, dihydroxy-acid dehydratase, catalyzes the fourth step in valine and isoleucine biosynthesis. It contains a catalytically essential [4Fe-4S] cluster This model generates scores of up to 150 bits vs. 6-phosphogluconate dehydratase, a homologous enzyme."
TIGR00115	121.5717683	0.758040119	0.192434233	3.939216567	8.17E-05	0.001606773	Protein fate	Protein folding and stabilization	tig	trigger factor	tig	5.2.1.8	"Trigger factor is a ribosome-associated molecular chaperone and is the first chaperone to interact with nascent polypeptide. Trigger factor can bind at the same time as the signal recognition particle (SRP), but is excluded by the SRP receptor (FtsY). The central domain of trigger factor has peptidyl-prolyl cis/trans isomerase activity. This protein is found in a single copy in virtually every bacterial genome."
TIGR03013	63.71634492	-0.782845976	0.198691358	-3.940010202	8.15E-05	0.001606773	NA	NA	EpsB_2	"sugar transferase, PEP-CTERM system associated"	NA	NA	Members of this protein family belong to the family of bacterial sugar transferases (PF02397).
TIGR03997	16.12889476	1.057897335	0.268962284	3.93325532	8.38E-05	0.001619247	NA	NA	mycofact_OYE_2	mycofactocin system FadH/OYE family oxidoreductase 2	NA	1.-.-.-	"The yeast protein called old yellow enzyme and FadH from Escherichia coli (2,4-dienoyl CoA reductase) are enzymes with 4Fe-4S, FMN, and FAD prosthetic groups, and interact with NADPH as well as substrate. Members of this related protein family occur in the vicinity of the putative mycofactocin biosynthesis operon in a number of Actinobacteria such as Frankia sp. and Rhodococcus sp., in Pelotomaculum thermopropionicum SI (Firmicutes), and in"
TIGR01372	28.93896313	1.950326938	0.496610802	3.927274497	8.59E-05	0.001632364	Energy metabolism	Amino acids and amines	soxA	"sarcosine oxidase, alpha subunit family, heterotetrameric form"	NA	NA	"This HMM describes the alpha subunit of a family of known and putative heterotetrameric sarcosine oxidases. Five operons of such oxidases are found in Mesorhizobium loti and three in Agrobacterium tumefaciens, a high enough copy number to suggest that not all members are share the same function. The model is designated as subfamily rather than equivalog for this reason.Sarcosine oxidase catalyzes the oxidative demethylation of sarcosine to glycine. The reaction converts tetrahydrofolate to 5,10-methylene-tetrahydrofolate. The enzyme is known in monomeric and heterotetrameric (alpha,beta,gamma,delta) forms"
TIGR00358	26.61143307	1.109009402	0.283943818	3.905735336	9.39E-05	0.001755587	Transcription	Degradation of RNA	3_prime_RNase	VacB and RNase II family 3-5 exoribonucleases	NA	3.1.13.1	"This HMM is defined to identify a pair of paralogous 3-prime exoribonucleases in E. coli, plus the set of proteins apparently orthologous to one or the other in other eubacteria. VacB was characterized originally as required for the expression of virulence genes, but is now recognized as the exoribonuclease RNase R (Rnr). Its paralog in E. coli and H. influenzae is designated exoribonuclease II (Rnb). Both are involved in the degradation of mRNA, and consequently have strong pleiotropic effects that may be difficult to disentangle. Both these proteins share domain-level similarity (RNB, S1) with a considerable number of other proteins, and full-length similarity scoring below the trusted cutoff to proteins associated with various phenotypes but uncertain biochemistry; it may be that these latter proteins are also 3-prime exoribonucleases."
TIGR01417	44.96887389	1.504458062	0.3867914	3.889585089	0.000100416	0.001845792	NA	NA	PTS_I_fam	phosphoenolpyruvate-protein phosphotransferase	ptsP	2.7.3.9	"This HMM recognizes a distinct clade of phophoenolpyruvate (PEP)-dependent enzymes. Most members are known or deduced to function as the phosphoenolpyruvate-protein phosphotransferase (or enzyme I) of PTS sugar transport systems. However, some species with both a member of this family and a homolog of the phosphocarrier protein HPr lack a IIC component able to serve as a permease. An HPr homolog designated NPr has been implicated in the regulation of nitrogen assimilation, which demonstrates that not all phosphotransferase system components are associated directly with PTS transport."
