	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj																															
TIGR02388	766.1343227	-0.279942909	0.228322334	-1.226086402	0.220166162	0.387424177	Transcription	DNA-dependent RNA polymerase	rpoC2_cyan	"DNA-directed RNA polymerase, beta subunit"	NA	2.7.7.6	"The family consists of the product of the rpoC2 gene, a subunit of DNA-directed RNA polymerase of cyanobacteria and chloroplasts. RpoC2 corresponds largely to the C-terminal region of the RpoC (the beta subunit) of other bacteria. Members of this family are designated beta' in chloroplasts/plastids, and beta (confusingly) in Cyanobacteria, where RpoC1 is called beta in chloroplasts/plastids and gamma in Cyanobacteria. We prefer to name this family beta', after its organellar members, to emphasize that this RpoC1 and RpoC2 together replace RpoC in other bacteria.
RM"																								
TIGR02392	702.5293454	-0.038104867	0.234876776	-0.16223344	0.871122027	0.931878888	Transcription	Transcription factors	rpoH_proteo	alternative sigma factor RpoH	rpoH	NA	"A sigma factor is a DNA-binding protein protein that binds to the DNA-directed RNA polymerase core to produce the holoenzyme capable of initiating transcription at specific sites. Different sigma factors act in vegetative growth, heat shock, extracytoplasmic functions (ECF), etc. This model represents the clade of sigma factors called RpoH and further restricted to the Proteobacteria. This protein may be called sigma-32, sigma factor H, heat shock sigma factor, and alternative sigma factor RpoH. Note that in some species the single locus rpoH may be replaced by two or more differentially regulated stress response sigma factors."																								
TIGR00493	634.0432067	0.225484876	0.147909794	1.524475625	0.127389941	0.267259858	Protein fate	"Degradation of proteins, peptides, and glycopeptides"	clpP	"ATP-dependent Clp endopeptidase, proteolytic subunit ClpP"	clpP	3.4.21.92	"This model for the proteolytic subunit ClpP has been rebuilt to a higher stringency. In every bacterial genome with the ClpXP machine, a ClpP protein will be found that scores at least 370 by this HMM. In general, this ClpP member will be encoded adjacent to the clpX gene, as were all examples used in the seed alignment. A large fraction of genomes have one or more additional ClpP paralogs, sometimes encoded nearby and sometimes elsewhere. The stringency of the trusted cutoff used here excludes the more divergent ClpP paralogs from being called authentic ClpP by this model."																								
TIGR01980	488.8384026	0.785848463	0.267588957	2.936774644	0.00331645	0.016224874	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	sufB	FeS assembly protein SufB	sufB	NA	"This protein, SufB, forms a cytosolic complex SufBCD. This complex enhances the cysteine desulfurase of SufSE. The system, together with SufA, is believed to act in iron-sulfur cluster formation during oxidative stress. Note that SufC belongs to the family of ABC transporter ATP binding proteins, so this protein, encoded by an adjacent gene, has often been annotated as a transporter component."																								
TIGR02387	636.3991113	-0.05375572	0.2434232	-0.22083236	0.825222966	0.910370659	NA	NA	rpoC1_cyan	"DNA-directed RNA polymerase, gamma subunit"	rpoC1	2.7.7.6	"The RNA polymerase gamma subunit, encoded by the rpoC1 gene, is found in cyanobacteria and corresponds to the N-terminal region the beta subunit, encoded by rpoC, in other bacteria. The equivalent subunit in plastids and chloroplasts is designated beta, while the product of the rpoC2 gene is designated beta."																								
TIGR02006	630.221882	0.087119022	0.242273817	0.359589093	0.719154441	0.840869679	Protein synthesis	tRNA and rRNA base modification	IscS	cysteine desulfurase IscS	iscS	2.8.1.7	"This HMM represents IscS, one of several cysteine desulfurases from a larger protein family designated (misleadingly, in this case) class V aminotransferases. IscS is one of at least 6 enzymes characteristic of the IscSUA-hscAB-fsx system of iron-sulfur cluster assembly. Scoring almost as well as proteobacterial sequences included in the model are mitochondrial cysteine desulfurases, apparently from an analogous system in eukaryotes. The sulfur, taken from cysteine, may be used in other systems as well, such as tRNA base modification and biosynthesis of other cofactors."																								
TIGR00483	829.6960274	-0.544898986	0.324221091	-1.680640161	0.09283283	0.214593202	Protein synthesis	Translation factors	EF-1_alpha	translation elongation factor EF-1 alpha	tuf	NA	This model represents the counterpart of bacterial EF-Tu for the Archaea (aEF-1 alpha) and Eukaryotes (eEF-1 alpha). The trusted cutoff is set fairly high so that incomplete sequences will score between suggested and trusted cutoff levels.																								
TIGR00008	777.9539066	-0.781480282	0.293194024	-2.665403169	0.007689607	0.031170372	Protein synthesis	Translation factors	infA	translation initiation factor IF-1	infA	NA	"This family consists of translation initiation factor IF-1 as found in bacteria and chloroplasts. This protein, about 70 residues in length, consists largely of an S1 RNA binding domain (PF00575)."																								
TIGR00767	470.5282874	0.570537428	0.154780055	3.686117222	0.000227702	0.001872762	Transcription	Transcription factors	rho	transcription termination factor Rho	rho	3.6.4.-	"This RNA helicase, the transcription termination factor Rho, occurs in nearly all bacteria but is missing from the Cyanobacteria, the Mollicutes (Mycoplasmas), and various Lactobacillales including Streptococcus. It is also missing, of course, from the Archaea, which also lack Nus factors.  Members of this family from Micrococcus luteus, Mycobacterium tuberculosis, and related species have a related but highly variable long, highly charged insert near the amino end. Members of this family differ in the specificity of RNA binding."																								
TIGR01818	721.0036486	-1.197777907	0.208472082	-5.745507473	9.16E-09	4.52E-07	Signal transduction	Two-component systems	ntrC	nitrogen regulation protein NR(I)	ntrC	NA	"This HMM represents NtrC, a DNA-binding response regulator that is phosphorylated by NtrB and interacts with sigma-54. NtrC usually controls the expression of glutamine synthase, GlnA, and may be called GlnL, GlnG, etc."																								
TIGR00962	841.3729781	-0.312755179	0.277809516	-1.125790014	0.260254412	0.431854909	Energy metabolism	ATP-proton motive force interconversion	atpA	"proton translocating ATP synthase, F1 alpha subunit"	atpA	3.6.3.14	"The sequences of ATP synthase F1 alpha and beta subunits are related and both contain a nucleotide-binding site for ATP and ADP. They have a common amino terminal domain but vary at the C-terminus. The beta chain has catalytic activity, while the alpha chain is a regulatory subunit. The alpha-subunit contains a highly conserved adenine-specific noncatalytic nucleotide-binding domain. The conserved amino acid sequence is Gly-X-X-X-X-Gly-Lys. Proton translocating ATP synthase F1, alpha subunit is homologous to proton translocating ATP synthase archaeal/vacuolar(V1), B subunit."																								
TIGR01817	715.3355293	-1.31304393	0.222140736	-5.910865143	3.40E-09	2.03E-07	Regulatory functions	DNA interactions	nifA	Nif-specific regulatory protein	nifA	NA	"This HMM represents NifA, a DNA-binding regulatory protein for nitrogen fixation. The model produces scores between the trusted and noise cutoffs for a well-described NifA homolog in Aquifex aeolicus (which lacks nitrogenase), for transcriptional activators of alternative nitrogenases (VFe or FeFe instead of MoFe), and truncated forms."																								
TIGR00963	657.1192652	-0.023016471	0.205550877	-0.111974568	0.910843571	0.959894614	Protein fate	Protein and peptide secretion and trafficking	secA	"preprotein translocase, SecA subunit"	secA	NA	"The proteins SecA-F and SecY, not all of which are necessary, comprise the standard prokaryotic protein translocation apparatus. Other, specialized translocation systems also exist but are not as broadly distributed. This HMM describes SecA, an essential member of the apparatus. This model excludes SecA2 of the accessory secretory system."																								
TIGR02037	627.3952487	-0.317475456	0.245465752	-1.293359474	0.19588676	0.358438428	Protein fate	"Degradation of proteins, peptides, and glycopeptides"	degP_htrA_DO	"periplasmic serine protease, Do/DeqQ family"	NA	3.4.21.-	"This family consists of a set proteins various designated DegP, heat shock protein HtrA, and protease DO. The ortholog in Pseudomonas aeruginosa is designated MucD and is found in an operon that controls mucoid phenotype. This family also includes the DegQ (HhoA) paralog in E. coli which can rescue a DegP mutant, but not the smaller DegS paralog, which cannot. Members of this family are located in the periplasm and have separable functions as both protease and chaperone. Members have a trypsin domain and two copies of a PDZ domain. This protein protects bacteria from thermal and other stresses and may be important for the survival of bacterial pathogens.// The chaperone function is dominant at low temperatures, whereas the proteolytic activity is turned on at elevated temperatures. [2]"																								
TIGR01039	766.173605	0.150482456	0.300189267	0.501291926	0.616165687	0.763480409	Energy metabolism	ATP-proton motive force interconversion	atpD	"ATP synthase, F1 beta subunit"	atpD	3.6.3.14	"The sequences of ATP synthase F1 alpha and beta subunits are related and both contain a nucleotide-binding site for ATP and ADP. They have a common amino terminal domain but vary at the C-terminus. The beta chain has catalytic activity, while the alpha chain is a regulatory subunit. Proton translocating ATP synthase,"																								
TIGR00517	698.2848088	0.156951452	0.329025475	0.477019149	0.633348486	0.774933985	Fatty acid and phospholipid metabolism	Biosynthesis	acyl_carrier	acyl carrier protein	acpP	NA	"This small protein has phosphopantetheine covalently bound to a Ser residue. It acts as a carrier of the growing fatty acid chain, which is bound to the prosthetic group, during fatty acid biosynthesis. Homologous phosphopantetheine-binding domains are found in longer proteins. Acyl carrier proteins scoring above the noise cutoff but below the trusted cutoff may be specialized versions. These include those involved in mycolic acid biosynthesis in the Mycobacteria, lipid A biosynthesis in Rhizobium, actinorhodin polyketide synthesis in Streptomyces coelicolor, etc. This protein is not found in the Archaea. Gene name acpP. S (Ser) at position 37 in the seed alignment, in the motif DSLD, is the phosphopantetheine attachment site."																								
TIGR01059	494.6661109	0.143413035	0.15257599	0.93994497	0.347245789	0.530449489	DNA metabolism	"DNA replication, recombination, and repair"	gyrB	"DNA gyrase, B subunit"	gyrB	5.99.1.3	"This model describes the common type II DNA topoisomerase (DNA gyrase). Two apparently independently arising families, one in the Proteobacteria and one in Gram-positive lineages, are both designated toposisomerase IV. Proteins scoring above the noise cutoff for this model and below the trusted cutoff for topoisomerase IV models probably should be designated GyrB."																								
TIGR02915	583.1889598	-1.258953396	0.212458617	-5.925640564	3.11E-09	1.96E-07	Regulatory functions	DNA interactions	PEP_resp_reg	PEP-CTERM-box response regulator transcription factor	prsR	NA	Members of this protein family share full-length homology with																								
TIGR00487	436.062026	0.248852245	0.157592877	1.579083077	0.114317003	0.24903992	Protein synthesis	Translation factors	IF-2	translation initiation factor IF-2	infB	NA	"This model discriminates eubacterial (and mitochondrial) translation initiation factor 2 (IF-2), encoded by the infB gene in bacteria, from similar proteins in the Archaea and Eukaryotes. In the bacteria and in organelles, the initiator tRNA is charged with N-formyl-Met instead of Met. This translation factor acts in delivering the initator tRNA to the ribosome. It is one of a number of GTP-binding translation factors recognized by the pfam HMM GTP_EFTU."																								
TIGR03402	411.5128411	0.025545805	0.18670289	0.136825974	0.891168352	0.945304748	NA	NA	FeS_nifS	cysteine desulfurase NifS	nifS	2.8.1.7	"Members of this protein family are NifS, one of several related families of cysteine desulfurase involved in iron-sulfur (FeS) cluster biosynthesis. NifS is part of the NIF system, usually associated with other nif genes involved in nitrogenase expression and nitrogen fixation. The protein family is given a fairly broad interpretation here. It includes a clade nearly always found in extended nitrogen fixation genomic regions, plus a second clade more closely related to the first than to IscS and also part of NifS-like/NifU-like systems. This model does not extend to a more distantly clade found in the epsilon proteobacteria such as Helicobacter pylori, also named NifS in the literature, built instead in TIGR03403."																								
TIGR00653	689.1308129	0.535464862	0.33438877	1.601324297	0.10930511	0.241364397	Amino acid biosynthesis	Glutamate family	GlnA	"glutamine synthetase, type I"	glnA	6.3.1.2	"Alternate name: glutamate--ammonia ligase. This model represents the dodecameric form, which can be subdivided into 1-alpha and 1-beta forms. The phylogeny of the 1-alpha and 1-beta forms appears polyphyletic. E. coli, Synechocystis PCC6803, Aquifex aeolicus, and the crenarcheon Sulfolobus acidocaldarius have form 1-beta, while Bacillus subtilis, Thermotoga maritima, and various euryarchaea has form 1-alpha. The 1-beta dodecamer from the crenarcheon Sulfolobus acidocaldarius differs from that in E. coli in that it is not regulated by adenylylation."																								
TIGR02939	566.646521	1.341332745	0.388416872	3.453332857	0.000553705	0.004068738	NA	NA	RpoE_Sigma70	RNA polymerase sigma factor RpoE	rpoE	NA	"A sigma factor is a DNA-binding protein protein that binds to the DNA-directed RNA polymerase core to produce the holoenzyme capable of initiating transcription at specific sites. Different sigma factors act in vegetative growth, heat shock, extracytoplasmic functions (ECF), etc. This model represents the clade of sigma factors called RpoE. This protein may be called sigma-24, sigma-E factor, sigma-H factor, fecI-like sigma factor or alternative sigma factor AlgU."																								
TIGR01393	452.4342272	0.227272514	0.223570775	1.016557346	0.309364054	0.48835633	Unknown function	General	lepA	elongation factor 4	lepA	3.6.5.-	"LepA (GUF1 in Saccaromyces), now called elongation factor 4, is a GTP-binding membrane protein related to EF-G and EF-Tu. Two types of phylogenetic tree, rooted by other GTP-binding proteins, suggest that eukaryotic homologs (including GUF1 of yeast) originated within the bacterial LepA family. The function is unknown."																								
TIGR00922	422.2246927	0.159114259	0.224370834	0.709157498	0.478226745	0.655540285	Transcription	Transcription factors	nusG	transcription termination/antitermination factor NusG	nusG	NA	"NusG proteins are transcription factors which are aparrently universal in prokaryotes (archaea and eukaryotes have homologs that may have related functions). The function of all of these NusG proteins is likely to be the same at the level of interaction with RNA and other protein factors to affect termination; however different species may utilize NusG towards different processes and in combination with different suites of affector proteins. In E. coli, NusG promotes rho-dependent termination. It is an essential gene. In Streptomyces virginiae and related species, an additional N-terminal sequence is also present and is suggested to play a role in butyrolactone-mediated autoregulation. In Thermotoga maritima, NusG has a long insert, fails to substitute for E. coli NusG (with or without the long insert), is a large 0.7 % of total cellular protein, and has a general, sequence non-specific DNA and RNA binding activity that blocks ethidium staining, yet permits transcription. Archaeal proteins once termed NusG share the KOW domain but are actually a ribosomal protein corresponding to L24p in bacterial and L26e in eukaryotes (TIGR00405)."																								
TIGR01622	184.5544113	-0.260759873	0.380547222	-0.685223432	0.49320294	0.666411115	NA	NA	SF-CC1	"splicing factor, CC1-like family"	NA	NA	"This model represents a subfamily of RNA splicing factors including the Pad-1 protein (N. crassa), CAPER (M. musculus) and CC1.3 (H.sapiens). A homologous gene from Plasmodium falciparum was identified in the course of the analysis of that genome at TIGR [4] and was included in the seed."																								
TIGR02696	353.4922496	0.288067353	0.263629508	1.092697687	0.274526556	0.449621415	NA	NA	pppGpp_PNP	guanosine pentaphosphate synthetase I/polynucleotide phosphorylase	gpsI	2.7.-.- 2.7.7.8	"Sohlberg, et al. [1] present characterization of two proteins from Streptomyces coelicolor. The protein in this family was shown to have poly(A) polymerase activity and may be responsible for polyadenylating RNA in this species. Reference 2 showed that a nearly identical plasmid-encoded protein from Streptomyces antibioticus is a bifunctional enzyme that acts also as a guanosine pentaphosphate synthetase."																								
TIGR03265	375.9675715	0.619424878	0.219276962	2.824851611	0.004730252	0.021137148	Transport and binding proteins	"Amino acids, peptides and amines"	PhnT2	"putative 2-aminoethylphosphonate ABC transporter, ATP-binding protein"	NA	NA	This ABC transporter ATP-binding protein is found in a number of genomes in operon-like contexts strongly suggesting a substrate specificity for 2-aminoethylphosphonate (2-AEP).																								
TIGR03625	498.5794729	-0.522313229	0.27691707	-1.886172016	0.059271778	0.148506552	NA	NA	L3_bact	"50S ribosomal protein uL3, bacterial form"	rplC	NA	"This model describes bacterial (and mitochondrial and chloroplast) class of ribosomal protein L3. A separate model describes the archaeal form, where both belong to Pfam family PF00297. The name is phrased to meet the needs of bacterial genome annotation. Organellar forms typically will have transit peptides, N-terminal to the region modeled here."																								
TIGR00936	519.6636037	-0.786430348	0.210188832	-3.741542019	0.000182895	0.001549144	Energy metabolism	Amino acids and amines	ahcY	adenosylhomocysteinase	ahcY	3.3.1.1	"This enzyme hydrolyzes adenosylhomocysteine as part of a cycle for the regeneration of the methyl donor S-adenosylmethionine. Species that lack this enzyme are likely to have adenosylhomocysteine nucleosidase (EC 3.2.2.9), an enzyme which also acts as 5-methyladenosine nucleosidase (see TIGR01704).
DR"																								
TIGR04397	455.1385155	-0.068593797	0.192072266	-0.357124942	0.720998273	0.840869679	Protein fate	Protein and peptide secretion and trafficking	SecA2_Bac_anthr	"accessory Sec system translocase SecA2, Bacillus type"	secA2	NA	"Members of this family always occur in genomes with the preprotein translocase SecA (TIGR00963) and closely resemble it, hence the designation SecA2. However, this appears to mark a different type of accessory Sec system SecA2 (TIGR03714) from the serine-rich glycoprotein type found in Staphylococcus and Streptococcus, and the actinobacterial SecA2 (TIGR04221). This type occurs in species including Bacillus anthracis, Geobacillus thermoglucosidasius, Solibacillus silvestris, etc."																								
TIGR01999	417.59621	0.076300683	0.325659247	0.234296074	0.814755133	0.909555168	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	iscU	FeS cluster assembly scaffold IscU	iscU	NA	"This HMM represents IscU, a homolog of the N-terminal region of NifU, an Fe-S cluster assembly protein found mostly in nitrogen-fixing bacteria. IscU is considered part of the IscSUA-hscAB-fdx system of Fe-S assembly, whereas NifU is found in nitrogenase-containing (nitrogen-fixing) species. A NifU-type protein is also found in Helicobacter and Campylobacter. IscU and NifU are considered scaffold proteins on which Fe-S clusters are assembled before transfer to apoproteins. This model excludes true NifU proteins as in Klebsiella pneumoniae and Anabaena sp. as well as archaeal homologs. It includes largely proteobacterial and eukaryotic forms."																								
TIGR02329	454.6495836	-1.177758705	0.221103568	-5.326728617	1.00E-07	3.44E-06	Regulatory functions	DNA interactions	propionate_PrpR	propionate catabolism operon regulatory protein PrpR	prpR	NA	"At least five distinct pathways exists for the catabolism of propionate by way of propionyl-CoA. Members of this family represent the transcriptional regulatory protein PrpR, whose gene is found in most cases divergently transcribed from an operon for the methylcitric acid cycle of propionate catabolism. 2-methylcitric acid, a catabolite by this pathway, is a coactivator of PrpR."																								
TIGR02974	482.8615896	-1.431157915	0.218962337	-6.536091697	6.31E-11	6.52E-09	Regulatory functions	DNA interactions	phageshock_pspF	psp operon transcriptional activator PspF	pspF	NA	"Members of this protein family are PspF, the sigma-54-dependent transcriptional activator of the phage shock protein (psp) operon, in Escherichia coli and numerous other species. The psp operon is induced by a number of stress conditions, including heat shock, ethanol, and filamentous phage infection."																								
TIGR02349	306.3251327	-0.525339992	0.245165419	-2.142798089	0.032129315	0.096728839	NA	NA	DnaJ_bact	chaperone protein DnaJ	dnaJ	NA	"This model represents bacterial forms of DnaJ, part of the DnaK-DnaJ-GrpE chaperone system. The three components typically are encoded by consecutive genes. DnaJ homologs occur in many genomes, typically not near DnaK and GrpE-like genes; most such genes are not included by this family. Eukaryotic (mitochondrial and chloroplast) forms are not included in the scope of this family."																								
